"?ltimo: Tiempo (s)","?ltimo: Angulo (rad)","?ltimo: Velocidad (rad/s)","?ltimo: Aceleraci?n (rad/s?)"
0,0,0,0
0.05,0,0,0
0.1,0,0,0
0.15,0,0,0
0.2,0,0,0
0.25,0,0,0
0.3,0,0,-0.00538681867899
0.35,0,0,-0.0700286428269
0.4,0,0,-0.457879587715
0.45,0,-0.00969627362219,-2.00389654859
0.5,0,-0.0969627362219,-6.06555783255
0.55,0,-0.446028586621,-13.7363876314
0.6,-0.0174532925199,-1.3962634016,-23.141773045
0.65,-0.12217304764,-2.80222307681,-31.7606829314
0.7,-0.279252680319,-4.65421133865,-38.3864699065
0.75,-0.575958653158,-6.78739153553,-41.7047502128
0.8,-0.959931088597,-8.92057173242,-42.7444062178
0.85,-1.46607657168,-11.1022332974,-42.7228589431
0.9,-2.07694180987,-13.1675395789,-42.9814262397
0.95,-2.77507351067,-15.3685936912,-43.7625149482
1,-3.61283155163,-17.5890403507,-43.7679017668
1.05,-4.53785605519,-19.7513093684,-43.5955235691
1.1,-5.58505360638,-21.9523634806,-43.3046353604
1.15,-6.7369709127,-24.0855436775,-42.9975866957
1.2,-7.99360797413,-26.2187238744,-43.3100221791
1.25,-9.35496479069,-28.4197779866,-43.6278444812
1.3,-10.8384946549,-30.5820470044,-43.9187326898
1.35,-12.4092909817,-32.8121899375,-44.0857240689
1.4,-14.1197136486,-35.032636597,-43.4716267395
1.45,-15.9174027782,-37.1658167939,-42.7444062178
1.5,-17.8372649554,-39.2796044435,-42.4481311905
1.55,-19.8443935952,-41.3933920931,-42.4858389212
1.6,-21.9736952826,-43.5556611109,-41.9040625039
1.65,-24.2077167252,-45.6015748452,-39.2591345325
1.7,-26.5290046303,-47.7153624948,-26.3307697029
1.75,-28.9724655831,-49.4122103787,18.2182207724
1.8,-31.5380995835,-48.4522792901,116.527661664
1.85,-34.1560934615,-39.8032032191,250.756409507
1.9,-35.9886891761,-21.5257274413,344.320063143
1.95,-36.3901149041,-0.901753446864,343.959146291
2,-35.8665161285,15.7758371833,272.583798794
2.05,-34.6273323596,27.5665059079,166.151035335
2.1,-32.8470965225,32.850975032,49.8280727807
2.15,-31.049407393,31.5031929985,-43.0891626133
2.2,-29.5658775288,26.6550561874,-95.131217871
2.25,-28.3616003449,20.7209367306,-115.978206159
2.3,-27.4889357189,14.5153216124,-119.700497866
2.35,-26.9129770658,8.37758040957,-110.252017903
2.4,-26.651177678,2.72465288784,-82.4021653326
2.45,-26.7035375555,-1.07628637206,-33.7591926613
2.5,-27.0002435284,-0.290888208666,4.13707674547
2.55,-26.8082573106,1.90046962995,-7.15369520571
2.6,-26.5988178004,0.319977029532,-44.990709607
2.65,-26.651177678,-3.75245789179,-63.666809967
2.7,-27.0002435284,-7.62127106704,-52.4783875708
2.75,-27.5412955965,-9.19206739384,-34.8958114025
2.8,-27.9427213244,-10.1423022088,-33.5437199141
2.85,-28.4837733925,-12.217304764,-39.620051384
2.9,-29.1644518008,-14.4086626026,-41.3115124492
2.95,-29.9323966717,-16.5418427995,-37.3737479949
3,-30.8225145902,-18.4907937975,-22.1990797761
3.05,-31.7998989713,-19.5864727168,13.391631236
3.1,-32.8470965225,-18.5683639865,75.6901892586
3.15,-33.9117473662,-12.2948749529,138.958374643
3.2,-34.2608132166,-2.34649821657,153.906796478
3.25,-34.0339204139,5.64323124811,114.346000099
3.3,-33.5277749308,9.94837673637,51.7781011425
3.35,-32.8820031076,10.4525829647,-5.37604504164
3.4,-32.3758576245,8.35818786233,-39.905552774
3.45,-32.0267917741,5.5074834174,-52.4352930213
3.5,-31.8348055564,2.69556406697,-53.329504922
3.55,-31.7649923863,0.0775701889775,-50.3236600992
3.6,-31.8348055564,-2.34649821657,-46.2458383592
3.65,-32.0093384816,-4.55724860243,-40.4011400925
3.7,-32.2885911619,-6.65164370482,-26.6378183676
3.75,-32.6900168899,-7.98003319106,3.04355255363
3.8,-33.1787090804,-7.10736856507,44.7698500411
3.85,-33.5801348084,-2.78283052957,69.4791873217
3.9,-33.4754150533,1.91016590357,52.5538030323
3.95,-33.231068958,3.56822869297,11.66246244
4,-33.0041761552,2.60829760437,-21.7465870071
4.05,-32.9169096926,0.31028075591,-31.9276743104
4.1,-32.9867228627,-1.67745533664,-18.4714012503
4.15,-33.1787090804,-1.84229198822,2.23552975178
4.2,-33.231068958,-0.756309342531,10.6551273471
4.25,-33.2136156655,-0.213318019688,7.43919659569
4.3,-33.231068958,-0.0872664625997,3.57684760285
4.35,-33.231068958,0.0581776417332,1.00194827429
4.4,-33.2136156655,-0.00969627362219,-0.517134593184
4.45,-33.231068958,-0.0872664625997,-0.16160456037
4.5,-33.231068958,-0.0290888208666,0.371690488851
4.55,-33.231068958,-0.00969627362219,0.296275027345
4.6,-33.231068958,0,0.145444104333
4.65,-33.231068958,0,0.032320912074
4.7,-33.231068958,0,0.005386818679
4.75,-33.231068958,0,0
4.8,-33.231068958,0,0
4.85,-33.231068958,0,0
4.9,-33.231068958,0,0
4.95,-33.231068958,0,0
5,-33.231068958,0,0
5.05,-33.231068958,0,0
5.1,-33.231068958,0,0
5.15,-33.231068958,0,0
5.2,-33.231068958,0,0
5.25,-33.231068958,0,0
5.3,-33.231068958,0,0
5.35,-33.231068958,0,0
5.4,-33.231068958,0,0
5.45,-33.231068958,0,0
5.5,-33.231068958,0,0
5.55,-33.231068958,0,0
5.6,-33.231068958,0,0
5.65,-33.231068958,0,0
5.7,-33.231068958,0,0
5.75,-33.231068958,0,0
5.8,-33.231068958,0,0
5.85,-33.231068958,0,0
5.9,-33.231068958,0,0
5.95,-33.231068958,0,0
6,-33.231068958,0,0
6.05,-33.231068958,0,0
6.1,-33.231068958,0,0
6.15,-33.231068958,0,0
6.2,-33.231068958,0,0
6.25,-33.231068958,0,0
6.3,-33.231068958,0,0
6.35,-33.231068958,0,0
6.4,-33.231068958,0,0
6.45,-33.231068958,0,0
6.5,-33.231068958,0,0
6.55,-33.231068958,0,0
6.6,-33.231068958,0,0
6.65,-33.231068958,0,0
6.7,-33.231068958,0,0
6.75,-33.231068958,0,0
6.8,-33.231068958,0,0
6.85,-33.231068958,0,0
6.9,-33.231068958,0,0
6.95,-33.231068958,0,0
7,-33.231068958,0,0
7.05,-33.231068958,0,0
7.1,-33.231068958,0,0
7.15,-33.231068958,0,0
7.2,-33.231068958,0,0
7.25,-33.231068958,0,0
7.3,-33.231068958,0,0
7.35,-33.231068958,0,0
7.4,-33.231068958,0,0
7.45,-33.231068958,0,0
7.5,-33.231068958,0,0
7.55,-33.231068958,0,0
7.6,-33.231068958,0,0
7.65,-33.231068958,0,0
7.7,-33.231068958,0,0
7.75,-33.231068958,0,0
7.8,-33.231068958,0,0
7.85,-33.231068958,0,0
7.9,-33.231068958,0,0
7.95,-33.231068958,0,0
8,-33.231068958,0,0
8.05,-33.231068958,0,0
8.1,-33.231068958,0,0
8.15,-33.231068958,0,0
8.2,-33.231068958,0,0
8.25,-33.231068958,0,0
8.3,-33.231068958,0,0
8.35,-33.231068958,0,0
8.4,-33.231068958,0,0
8.45,-33.231068958,0,0
8.5,-33.231068958,0,0
8.55,-33.231068958,0,0
8.6,-33.231068958,0,0
8.65,-33.231068958,0,0
8.7,-33.231068958,0,0
8.75,-33.231068958,0,0
8.8,-33.231068958,0,0
8.85,-33.231068958,0,0
8.9,-33.231068958,0,0
8.95,-33.231068958,0,0
9,-33.231068958,0,0
9.05,-33.231068958,0,0
9.1,-33.231068958,0,0
9.15,-33.231068958,0,0
9.2,-33.231068958,0,0
9.25,-33.231068958,0,0
9.3,-33.231068958,0,0
9.35,-33.231068958,0,0
9.4,-33.231068958,0,0
9.45,-33.231068958,0,0
9.5,-33.231068958,0,0
9.55,-33.231068958,0,0
9.6,-33.231068958,0,0
9.65,-33.231068958,0,0
9.7,-33.231068958,0,0
9.75,-33.231068958,0,0
9.8,-33.231068958,0,0
9.85,-33.231068958,0,0
9.9,-33.231068958,0,0
9.95,-33.231068958,0,0
10,-33.231068958,0,0
